Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,League Name,Year
9 - 10,90,Browns D/ST,D/ST,Team BB,194.31,11.43,103.0,6.06,17,62.39,D-,Brown Munde,2024
6 - 10,60,Stefon Diggs,WR,BurgerBoyz,189.62,12.64,98.42,12.3,8,61.59,D-,Brown Munde,2024
9 - 2,82,Tyjae Spears,RB,THE BIGMADBLUE,152.85,10.92,98.6,8.22,12,61.35,D-,Brown Munde,2024
9 - 4,84,Evan Engram,TE,Team Padodara,186.14,12.41,91.5,10.17,9,59.41,F-,Brown Munde,2024
7 - 8,68,Amari Cooper,WR,Hark,179.09,11.94,100.7,7.19,14,59.23,F-,Brown Munde,2024
8 - 10,80,Christian Watson,WR,BurgerBoyz,164.88,10.99,94.8,6.32,15,59.07,F-,Brown Munde,2024
7 - 1,61,Dalton Kincaid,TE,BurgerBoyz,174.67,11.64,100.8,7.75,13,58.9,F-,Brown Munde,2024
15 - 7,147,Jaguars D/ST,D/ST,"All Barkley, No Bite",160.58,9.45,70.0,4.12,17,58.16,F-,Brown Munde,2024
11 - 3,103,Devin Singletary,RB,Meet the Nabers,154.67,11.05,86.1,5.74,15,57.79,F-,Brown Munde,2024
12 - 5,115,Zack Moss,RB,NoHalfSends,142.94,10.21,70.4,8.8,8,57.64,F-,Brown Munde,2024
7 - 7,67,Dak Prescott,QB,"All Barkley, No Bite",263.34,17.56,108.02,13.5,8,56.56,F-,Brown Munde,2024
3 - 4,24,Travis Etienne Jr.,RB,Team Padodara,207.83,14.84,110.7,7.38,15,55.69,F-,Brown Munde,2024
14 - 4,134,Gus Edwards,RB,"All Barkley, No Bite",138.19,9.87,62.6,5.69,11,54.12,F-,Brown Munde,2024
6 - 7,57,Rashee Rice,WR,Team Padodara,175.78,12.56,56.9,14.23,4,53.46,F-,Brown Munde,2024
12 - 2,112,Nick Chubb,RB,Still Rollin',130.68,14.52,60.8,7.6,8,51.43,F-,Brown Munde,2024
7 - 9,69,Diontae Johnson,WR,Still Rollin',178.11,11.87,74.6,6.22,12,50.94,F-,Brown Munde,2024
15 - 2,142,Curtis Samuel,WR,THE BIGMADBLUE,136.68,9.11,48.2,3.44,14,49.36,F-,Brown Munde,2024
16 - 6,156,Gabe Davis,WR,Bhals,147.65,9.84,43.9,4.39,10,48.42,F-,Brown Munde,2024
9 - 3,83,Christian Kirk,WR,Meet the Nabers,168.55,11.24,57.4,7.17,8,47.87,F-,Brown Munde,2024
13 - 5,125,Mike Williams,WR,Bhals,138.3,9.88,46.3,2.57,17,46.8,F-,Brown Munde,2024
8 - 5,75,Raheem Mostert,RB,NoHalfSends,160.9,11.49,61.4,4.72,13,46.18,F-,Brown Munde,2024
10 - 10,100,Ezekiel Elliott,RB,BurgerBoyz,147.34,10.52,51.5,3.43,15,45.44,F-,Brown Munde,2024
16 - 4,154,Greg Zuerlein,K,"All Barkley, No Bite",136.82,8.05,27.0,3.38,8,42.23,F-,Brown Munde,2024
14 - 2,132,Blake Corum,RB,Still Rollin',110.31,7.88,30.0,1.76,17,41.89,F-,Brown Munde,2024
2 - 10,20,Chris Olave,WR,BurgerBoyz,212.2,14.15,62.7,7.84,8,41.44,F-,Brown Munde,2024
15 - 8,148,Ja'Lynn Polk,WR,Hark,116.86,7.79,26.7,1.78,15,41.35,F-,Brown Munde,2024
4 - 8,38,Brandon Aiyuk,WR,Meet the Nabers,191.5,12.77,51.9,7.41,7,40.01,F-,Brown Munde,2024
14 - 8,138,Ty Chandler,RB,Meet the Nabers,129.01,9.21,24.9,1.46,17,39.01,F-,Brown Munde,2024
12 - 8,118,Hollywood Brown,WR,Meet the Nabers,120.83,10.07,13.6,6.8,2,35.01,F-,Brown Munde,2024
2 - 7,17,Isiah Pacheco,RB,Team Padodara,215.83,15.42,50.9,7.27,7,34.34,F-,Brown Munde,2024
1 - 1,1,Christian McCaffrey,RB,BurgerBoyz,311.56,23.97,40.3,10.08,4,26.63,F-,Brown Munde,2024
7 - 4,64,Zamir White,RB,Team Padodara,169.66,12.12,26.3,3.29,8,25.23,F-,Brown Munde,2024
11 - 10,110,Jonathon Brooks,RB,Team BB,131.71,13.17,6.0,2.0,3,10.0,F-,Brown Munde,2024
7 - 6,54,Cooper Kupp,WR,Pure Mature,235.02,14.69,439.5,25.85,17,100.0,A+,EBC League,2021
2 - 4,12,Jonathan Taylor,RB,South East  Anbu ,264.97,17.66,373.1,21.95,17,97.65,A+,EBC League,2021
14 - 8,112,Deebo Samuel,WR,Hungry Dogs,194.43,12.96,338.96,21.19,16,96.92,A,EBC League,2021
4 - 3,27,Josh Allen,QB,Pure Mature,377.5,23.59,402.58,23.68,17,95.59,A,EBC League,2021
2 - 6,14,Austin Ekeler,RB,Seigaku FC,263.95,18.85,343.8,21.49,16,94.92,A,EBC League,2021
2 - 3,11,Davante Adams,WR,Pure Mature,322.92,21.53,344.3,21.52,16,94.55,A,EBC League,2021
3 - 5,21,Justin Jefferson,WR,South East  Anbu ,260.37,16.27,330.4,19.44,17,92.75,A-,EBC League,2021
5 - 7,39,Mark Andrews,TE,Pleasant Valley Panthers,201.03,12.56,301.1,17.71,17,92.49,A-,EBC League,2021
7 - 1,49,Justin Herbert,QB,Hungry Dogs,308.99,19.31,380.76,22.4,17,91.81,A-,EBC League,2021
6 - 6,46,Tom Brady,QB,Seigaku FC,319.57,21.3,374.74,22.04,17,90.5,A-,EBC League,2021
3 - 7,23,Patrick Mahomes,QB,Pleasant Valley Panthers,369.41,23.09,361.66,21.27,17,89.98,B+,EBC League,2021
4 - 1,25,Joe Mixon,RB,Pitman OBJYN,240.4,17.17,287.9,17.99,16,89.77,B+,EBC League,2021
13 - 4,100,Ja'Marr Chase,WR,Abyss Diamond Eyes,206.43,12.9,304.6,17.92,17,89.66,B+,EBC League,2021
3 - 8,24,Najee Harris,RB,Pitman OBJYN,255.66,17.04,300.7,17.69,17,89.49,B+,EBC League,2021
1 - 8,8,Tyreek Hill,WR,Pitman OBJYN,307.92,19.24,296.5,17.44,17,88.86,B+,EBC League,2021
1 - 6,6,Travis Kelce,TE,Pure Mature,305.12,19.07,262.8,16.43,16,88.15,B+,EBC League,2021
3 - 1,17,Stefon Diggs,WR,Hungry Dogs,302.15,18.88,285.5,16.79,17,87.43,B+,EBC League,2021
13 - 1,97,Matthew Stafford,QB,Hungry Dogs,282.97,17.69,329.74,19.4,17,87.32,B+,EBC League,2021
13 - 5,101,Joe Burrow,QB,South East  Anbu ,282.87,17.68,314.24,19.64,16,86.23,B,EBC League,2021
14 - 6,110,Kirk Cousins,QB,Seigaku FC,248.11,15.51,300.34,18.77,16,86.01,B,EBC League,2021
8 - 5,61,Aaron Rodgers,QB,Abyss Diamond Eyes,321.95,20.12,333.3,20.83,16,85.96,B,EBC League,2021
2 - 1,9,Jalen Hurts,QB,Pitman OBJYN,293.69,19.58,312.16,20.81,15,85.89,B,EBC League,2021
7 - 7,55,Diontae Johnson,WR,Pleasant Valley Panthers,228.13,14.26,274.4,17.15,16,85.44,B,EBC League,2021
6 - 1,41,Kyler Murray,QB,Pitman OBJYN,356.68,22.29,300.48,21.46,14,85.36,B,EBC League,2021
5 - 2,34,Mike Evans,WR,Sorry 🤷🏽‍♂️,243.84,15.24,262.5,16.41,16,85.29,B,EBC League,2021
12 - 1,89,Leonard Fournette,RB,Pitman OBJYN,179.78,11.99,255.6,18.26,14,85.23,B,EBC League,2021
1 - 4,4,Derrick Henry,RB,Abyss Diamond Eyes,285.84,19.06,193.3,24.16,8,85.2,B,EBC League,2021
4 - 6,30,Keenan Allen,WR,Seigaku FC,253.82,15.86,257.8,16.11,16,84.89,B,EBC League,2021
8 - 2,58,Dak Prescott,QB,Pleasant Valley Panthers,344.05,21.5,320.56,20.04,16,84.68,B,EBC League,2021
1 - 2,2,Alvin Kamara,RB,Sorry 🤷🏽‍♂️,298.58,19.91,234.7,18.05,13,84.5,B,EBC League,2021
9 - 1,65,Tee Higgins,WR,Hungry Dogs,214.87,13.43,219.1,15.65,14,83.8,B,EBC League,2021
1 - 7,7,Ezekiel Elliott,RB,Pleasant Valley Panthers,273.8,18.25,252.06,14.83,17,83.76,B,EBC League,2021
6 - 8,48,Chris Godwin,WR,Hungry Dogs,225.84,15.06,242.4,17.31,14,82.31,B-,EBC League,2021
11 - 8,88,Brandin Cooks,WR,Pitman OBJYN,210.94,13.18,231.8,14.49,16,82.27,B-,EBC League,2021
3 - 2,18,DK Metcalf,WR,Sorry 🤷🏽‍♂️,279.08,17.44,244.3,14.37,17,81.98,B-,EBC League,2021
5 - 4,36,Lamar Jackson,QB,Abyss Diamond Eyes,338.93,22.6,239.98,20.0,12,81.27,B-,EBC League,2021
4 - 8,32,CeeDee Lamb,WR,Hungry Dogs,246.11,15.38,232.8,14.55,16,81.23,B-,EBC League,2021
10 - 6,78,Rob Gronkowski,TE,Seigaku FC,148.18,9.26,171.2,14.27,12,81.21,B-,EBC League,2021
2 - 2,10,Aaron Jones,RB,Pleasant Valley Panthers,265.22,17.68,229.0,15.27,15,81.05,B-,EBC League,2021
6 - 4,44,Tyler Lockett,WR,South East  Anbu ,244.32,15.27,241.4,15.09,16,80.87,B-,EBC League,2021
2 - 7,15,Antonio Gibson,RB,Sorry 🤷🏽‍♂️,261.79,17.45,229.1,14.32,16,80.17,B-,EBC League,2021
1 - 3,3,Dalvin Cook,RB,Seigaku FC,306.7,21.91,206.3,15.87,13,80.15,B-,EBC League,2021
5 - 1,33,George Kittle,TE,Hungry Dogs,225.23,14.08,198.0,14.14,14,79.65,C+,EBC League,2021
2 - 8,16,Nick Chubb,RB,Hungry Dogs,260.03,17.34,215.3,15.38,14,79.35,C+,EBC League,2021
8 - 1,57,DJ Moore,WR,Pitman OBJYN,225.21,14.08,237.5,13.97,17,78.88,C+,EBC League,2021
8 - 8,64,Josh Jacobs,RB,Hungry Dogs,227.37,15.16,226.0,15.07,15,78.48,C+,EBC League,2021
12 - 3,91,Ryan Tannehill,QB,Pure Mature,293.42,18.34,268.36,15.79,17,78.31,C+,EBC League,2021
4 - 2,26,Terry McLaurin,WR,Pleasant Valley Panthers,256.21,16.01,213.5,12.56,17,78.23,C+,EBC League,2021
11 - 3,83,Javonte Williams,RB,Seigaku FC,174.52,11.63,204.9,12.05,17,77.73,C+,EBC League,2021
8 - 4,60,D'Andre Swift,RB,South East  Anbu ,233.55,15.57,208.9,16.07,13,77.72,C+,EBC League,2021
5 - 5,37,Amari Cooper,WR,South East  Anbu ,237.88,15.86,202.5,13.5,15,77.02,C+,EBC League,2021
6 - 2,42,Adam Thielen,WR,Pleasant Valley Panthers,242.03,15.13,199.8,15.37,13,77.01,C+,EBC League,2021
7 - 2,50,David Montgomery,RB,Sorry 🤷🏽‍♂️,233.69,15.58,195.0,15.0,13,76.76,C,EBC League,2021
8 - 7,63,Russell Wilson,QB,Sorry 🤷🏽‍♂️,316.67,19.79,242.82,17.34,14,76.44,C,EBC League,2021
12 - 8,96,Damien Harris,RB,Hungry Dogs,176.85,11.79,210.1,14.01,15,76.42,C,EBC League,2021
10 - 2,74,Matt Gay,K,Pleasant Valley Panthers,140.39,8.26,157.0,9.24,17,75.12,C,EBC League,2021
3 - 4,20,A.J. Brown,WR,Abyss Diamond Eyes,271.79,16.99,180.9,13.92,13,75.03,C,EBC League,2021
11 - 7,87,Bills D/ST,D/ST,Pleasant Valley Panthers,117.5,6.91,154.0,9.06,17,75.03,C,EBC League,2021
9 - 4,68,Dallas Goedert,TE,Abyss Diamond Eyes,158.46,9.9,165.0,11.0,15,74.9,C,EBC League,2021
10 - 8,80,Chase Claypool,WR,Hungry Dogs,211.29,13.21,166.6,11.11,15,74.44,C,EBC League,2021
1 - 1,1,Christian McCaffrey,RB,Hungry Dogs,334.31,22.29,127.5,18.21,7,74.02,C,EBC League,2021
6 - 5,45,Kyle Pitts,TE,Abyss Diamond Eyes,190.38,11.9,176.6,10.39,17,72.92,C-,EBC League,2021
9 - 2,66,Brandon Aiyuk,WR,Sorry 🤷🏽‍♂️,218.66,13.67,170.3,10.02,17,72.56,C-,EBC League,2021
6 - 3,43,DeVonta Smith,WR,Pure Mature,196.93,13.13,185.6,10.92,17,72.18,C-,EBC League,2021
7 - 5,53,James Robinson,RB,South East  Anbu ,242.23,16.15,173.9,12.42,14,72.12,C-,EBC League,2021
5 - 6,38,Myles Gaskin,RB,Pure Mature,190.35,12.69,173.6,10.21,17,71.7,C-,EBC League,2021
9 - 5,69,Chase Edmonds,RB,South East  Anbu ,211.27,14.08,143.3,11.94,12,71.65,C-,EBC League,2021
5 - 3,35,Robert Woods,WR,Seigaku FC,246.2,15.39,137.2,15.24,9,71.62,C-,EBC League,2021
2 - 5,13,DeAndre Hopkins,WR,Abyss Diamond Eyes,291.75,18.23,147.2,14.72,10,71.43,C-,EBC League,2021
10 - 1,73,Buccaneers D/ST,D/ST,Pitman OBJYN,139.31,8.19,125.0,7.35,17,71.04,C-,EBC League,2021
12 - 6,94,Darrell Henderson Jr.,RB,Seigaku FC,198.33,13.22,163.4,13.62,12,70.96,C-,EBC League,2021
8 - 6,62,Justin Tucker,K,Seigaku FC,142.55,8.39,161.0,9.47,17,70.88,C-,EBC League,2021
12 - 7,95,Tyler Boyd,WR,Sorry 🤷🏽‍♂️,210.15,13.13,183.84,11.49,16,70.85,C-,EBC League,2021
4 - 4,28,Darren Waller,TE,South East  Anbu ,241.26,15.08,133.5,12.14,11,70.53,C-,EBC League,2021
1 - 5,5,Saquon Barkley,RB,South East  Anbu ,279.23,21.48,148.6,11.43,13,70.52,C-,EBC League,2021
15 - 6,118,Noah Fant,TE,Pure Mature,155.71,9.73,159.0,9.94,16,70.39,C-,EBC League,2021
15 - 8,120,Baker Mayfield,QB,Pitman OBJYN,274.69,17.17,180.9,12.92,14,70.34,C-,EBC League,2021
10 - 3,75,Courtland Sutton,WR,Pure Mature,205.37,13.69,150.24,8.84,17,70.03,C-,EBC League,2021
9 - 6,70,Harrison Butker,K,Pure Mature,147.14,8.66,137.0,8.56,16,70.0,C-,EBC League,2021
6 - 7,47,T.J. Hockenson,TE,Sorry 🤷🏽‍♂️,199.73,12.48,145.3,12.11,12,69.89,D+,EBC League,2021
11 - 5,85,Kareem Hunt,RB,South East  Anbu ,182.47,12.16,110.0,13.75,8,68.82,D+,EBC League,2021
11 - 6,86,49ers D/ST,D/ST,Pure Mature,116.38,6.85,120.0,7.06,17,67.36,D+,EBC League,2021
15 - 1,113,Greg Zuerlein,K,Hungry Dogs,128.75,7.57,134.0,8.38,16,66.97,D,EBC League,2021
9 - 8,72,Younghoe Koo,K,Pitman OBJYN,127.72,7.51,123.0,7.24,17,66.36,D,EBC League,2021
9 - 7,71,Robby Anderson,WR,Pleasant Valley Panthers,216.75,13.55,138.5,8.15,17,66.27,D,EBC League,2021
3 - 6,22,Clyde Edwards-Helaire,RB,Pure Mature,240.88,16.06,117.6,11.76,10,66.05,D,EBC League,2021
11 - 2,82,Mike Davis,RB,Sorry 🤷🏽‍♂️,202.36,13.49,138.2,8.13,17,65.63,D,EBC League,2021
4 - 5,29,Miles Sanders,RB,Abyss Diamond Eyes,238.41,15.89,117.2,9.77,12,64.76,D,EBC League,2021
12 - 2,90,Sony Michel,RB,Pleasant Valley Panthers,155.81,10.39,146.3,8.61,17,64.38,D,EBC League,2021
11 - 1,81,Rams D/ST,D/ST,Hungry Dogs,111.79,6.58,105.0,6.18,17,64.06,D,EBC League,2021
15 - 5,117,Brandon McManus,K,South East  Anbu ,138.17,8.13,125.0,7.35,17,64.04,D,EBC League,2021
14 - 4,108,Broncos D/ST,D/ST,South East  Anbu ,110.67,6.51,110.0,6.47,17,63.15,D,EBC League,2021
15 - 2,114,Graham Gano,K,Sorry 🤷🏽‍♂️,135.01,7.94,119.0,7.0,17,62.87,D-,EBC League,2021
3 - 3,19,Calvin Ridley,WR,Seigaku FC,275.41,17.21,71.1,14.22,5,62.55,D-,EBC League,2021
12 - 5,93,Odell Beckham Jr.,WR,Abyss Diamond Eyes,198.9,15.3,129.1,9.22,14,61.86,D-,EBC League,2021
10 - 5,77,Steelers D/ST,D/ST,Abyss Diamond Eyes,118.24,6.96,90.0,5.29,17,61.76,D-,EBC League,2021
14 - 3,107,Laviska Shenault Jr.,WR,Pure Mature,204.38,12.77,127.0,7.94,16,61.45,D-,EBC League,2021
14 - 7,111,Browns D/ST,D/ST,Sorry 🤷🏽‍♂️,108.28,6.37,101.0,5.94,17,60.56,D-,EBC League,2021
10 - 7,79,Jerry Jeudy,WR,Sorry 🤷🏽‍♂️,212.12,13.26,85.0,8.5,10,60.25,D-,EBC League,2021
13 - 3,99,DeVante Parker,WR,Seigaku FC,161.18,10.75,103.5,10.35,10,60.14,D-,EBC League,2021
11 - 4,84,Jason Myers,K,Abyss Diamond Eyes,140.2,8.25,98.0,5.76,17,59.53,F-,EBC League,2021
14 - 1,105,Michael Gallup,WR,Pitman OBJYN,168.68,12.98,91.5,10.17,9,59.32,F-,EBC League,2021
7 - 8,56,Evan Engram,TE,Pitman OBJYN,106.8,8.22,102.5,6.83,15,59.25,F-,EBC League,2021
15 - 4,116,Kenyan Drake,RB,Abyss Diamond Eyes,172.33,11.49,102.5,8.54,12,59.03,F-,EBC League,2021
4 - 7,31,Allen Robinson II,WR,Sorry 🤷🏽‍♂️,244.54,15.28,87.0,7.25,12,57.71,F-,EBC League,2021
7 - 4,52,Julio Jones,WR,Abyss Diamond Eyes,221.97,14.8,80.4,8.04,10,55.3,F-,EBC League,2021
8 - 3,59,Chris Carson,RB,Pure Mature,226.61,16.19,48.1,12.03,4,53.79,F-,EBC League,2021
15 - 3,115,DJ Chark Jr.,WR,Seigaku FC,193.55,12.1,34.4,11.47,3,53.59,F-,EBC League,2021
12 - 4,92,Kenny Golladay,WR,South East  Anbu ,212.89,14.19,89.1,6.36,14,52.9,F-,EBC League,2021
7 - 3,51,Logan Thomas,TE,Seigaku FC,177.58,11.1,53.6,8.93,6,52.86,F-,EBC League,2021
14 - 2,106,Commanders D/ST,D/ST,Pleasant Valley Panthers,114.21,6.72,72.0,4.24,17,52.81,F-,EBC League,2021
9 - 3,67,Ravens D/ST,D/ST,Seigaku FC,113.0,6.65,58.0,3.41,17,52.31,F-,EBC League,2021
13 - 2,98,Khalil Herbert,RB,Sorry 🤷🏽‍♂️,11.12,0.74,78.9,4.93,16,50.28,F-,EBC League,2021
15 - 7,119,Jalen Reagor,WR,Pleasant Valley Panthers,168.52,10.53,78.1,4.59,17,49.12,F-,EBC League,2021
13 - 7,103,Jonnu Smith,TE,Pleasant Valley Panthers,156.0,9.75,67.4,4.49,15,47.96,F-,EBC League,2021
5 - 8,40,JuJu Smith-Schuster,WR,Pitman OBJYN,212.33,13.27,34.8,6.96,5,47.12,F-,EBC League,2021
13 - 8,104,Robert Tonyan,TE,Pitman OBJYN,153.1,9.57,50.4,6.3,8,45.77,F-,EBC League,2021
13 - 6,102,William Fuller V,WR,Pure Mature,193.17,13.8,8.6,4.3,2,29.18,F-,EBC League,2021
14 - 5,109,Raheem Mostert,RB,Abyss Diamond Eyes,157.56,12.12,2.0,2.0,1,16.12,F-,EBC League,2021
10 - 4,76,Gus Edwards,RB,South East  Anbu ,0.0,0.0,0.0,0.0,0,10.0,F-,EBC League,2021
6 - 1,41,Jalen Hurts,QB,Champagne  Papi ,318.51,21.23,378.04,25.2,15,100.0,A+,EBC League,2022
5 - 2,34,Patrick Mahomes,QB,Seigaku FC,352.02,22.0,417.4,24.55,17,100.0,A+,EBC League,2022
1 - 4,4,Josh Allen,QB,Pitman MaleManipulator,374.63,23.41,395.52,24.72,16,100.0,A+,EBC League,2022
1 - 2,2,Austin Ekeler,RB,Seigaku FC,284.73,18.98,372.7,21.92,17,100.0,A+,EBC League,2022
1 - 8,8,Justin Jefferson,WR,Champagne  Papi ,287.8,17.99,368.66,21.69,17,100.0,A+,EBC League,2022
1 - 3,3,Christian McCaffrey,RB,Abyss Diamond Eyes,309.94,22.14,356.36,20.96,17,100.0,A+,EBC League,2022
3 - 8,24,Travis Kelce,TE,Champagne  Papi ,227.3,14.21,316.3,18.61,17,100.0,A+,EBC League,2022
3 - 1,17,Tyreek Hill,WR,Wut happened uh 🤷🏽‍♂️,246.45,15.4,347.2,20.42,17,99.92,A+,EBC League,2022
8 - 3,59,Joe Burrow,QB,The Hungry Dogs,294.45,18.4,350.7,21.92,16,99.27,A+,EBC League,2022
2 - 8,16,Davante Adams,WR,Wut happened uh 🤷🏽‍♂️,253.59,16.91,335.5,19.74,17,98.53,A+,EBC League,2022
3 - 2,18,Stefon Diggs,WR,Seigaku FC,258.25,16.14,316.6,19.79,16,96.2,A,EBC League,2022
5 - 4,36,Josh Jacobs,RB,Pitman MaleManipulator,210.51,14.03,328.3,19.31,17,95.68,A,EBC League,2022
1 - 6,6,Derrick Henry,RB,The Hungry Dogs,264.47,17.63,302.76,18.92,16,93.22,A,EBC League,2022
3 - 6,22,CeeDee Lamb,WR,The Hungry Dogs,252.45,15.78,301.6,17.74,17,92.62,A-,EBC League,2022
4 - 8,32,Nick Chubb,RB,Wut happened uh 🤷🏽‍♂️,216.04,14.4,281.4,16.55,17,91.24,A-,EBC League,2022
5 - 6,38,A.J. Brown,WR,The Hungry Dogs,220.85,13.8,299.6,17.62,17,90.46,A-,EBC League,2022
5 - 7,39,Saquon Barkley,RB,Riley  Read option,227.77,16.27,284.0,17.75,16,89.27,B+,EBC League,2022
2 - 5,13,Ja'Marr Chase,WR,Pitman MaleManipulator,276.17,17.26,242.4,20.2,12,89.15,B+,EBC League,2022
4 - 2,26,Justin Herbert,QB,Riley  Read option,328.04,20.5,281.26,16.54,17,88.42,B+,EBC League,2022
9 - 2,66,Amon-Ra St. Brown,WR,Seigaku FC,208.86,13.05,267.6,16.73,16,88.05,B+,EBC League,2022
7 - 3,51,Jaylen Waddle,WR,Abyss Diamond Eyes,218.23,13.64,259.2,15.25,17,87.17,B+,EBC League,2022
2 - 1,9,Joe Mixon,RB,Champagne  Papi ,258.91,17.26,239.5,17.11,14,86.62,B,EBC League,2022
10 - 2,74,DeVonta Smith,WR,Riley  Read option,192.23,12.01,254.6,14.98,17,86.2,B,EBC League,2022
11 - 1,81,Tua Tagovailoa,QB,Wut happened uh 🤷🏽‍♂️,271.03,16.94,230.92,17.76,13,85.82,B,EBC League,2022
2 - 4,12,Aaron Jones,RB,Pleasant Valley Panthers,242.56,17.33,248.6,14.62,17,85.31,B,EBC League,2022
6 - 6,46,Tom Brady,QB,Abyss Diamond Eyes,306.83,19.18,271.66,15.98,17,85.23,B,EBC League,2022
7 - 4,52,Amari Cooper,WR,Pitman MaleManipulator,198.97,12.44,246.0,14.47,17,84.66,B,EBC League,2022
13 - 4,100,Christian Kirk,WR,Pitman MaleManipulator,200.01,12.5,241.9,14.23,17,84.34,B,EBC League,2022
15 - 1,113,Rhamondre Stevenson,RB,Wut happened uh 🤷🏽‍♂️,182.24,12.15,249.1,14.65,17,84.1,B,EBC League,2022
1 - 7,7,Cooper Kupp,WR,Riley  Read option,312.91,19.56,201.4,22.38,9,84.05,B,EBC League,2022
10 - 4,76,Tyler Lockett,WR,Pleasant Valley Panthers,197.01,12.31,237.3,14.83,16,83.73,B,EBC League,2022
4 - 4,28,T.J. Hockenson,TE,Pleasant Valley Panthers,168.03,10.5,215.4,12.67,17,83.69,B,EBC League,2022
2 - 2,10,Dalvin Cook,RB,Riley  Read option,258.49,18.46,237.8,13.99,17,83.56,B,EBC League,2022
11 - 2,82,Chris Godwin,WR,Seigaku FC,198.2,14.16,222.8,14.85,15,83.05,B,EBC League,2022
4 - 7,31,Mike Evans,WR,Seigaku FC,223.32,13.96,225.4,15.03,15,82.55,B-,EBC League,2022
4 - 5,29,George Kittle,TE,Pitman MaleManipulator,169.59,12.11,200.5,13.37,15,82.03,B-,EBC League,2022
2 - 7,15,Leonard Fournette,RB,Seigaku FC,258.74,17.25,226.1,14.13,16,81.76,B-,EBC League,2022
5 - 1,33,Lamar Jackson,QB,Wut happened uh 🤷🏽‍♂️,316.41,19.78,236.08,18.16,13,81.42,B-,EBC League,2022
7 - 1,49,Tee Higgins,WR,Wut happened uh 🤷🏽‍♂️,237.31,14.83,220.9,13.81,16,80.95,B-,EBC League,2022
4 - 1,25,James Conner,RB,Champagne  Papi ,240.04,17.15,200.2,15.4,13,80.6,B-,EBC League,2022
6 - 2,42,DK Metcalf,WR,Riley  Read option,212.43,13.28,226.8,13.34,17,80.06,B-,EBC League,2022
4 - 6,30,Michael Pittman Jr.,WR,Abyss Diamond Eyes,236.16,14.76,216.5,13.53,16,79.94,C+,EBC League,2022
2 - 6,14,Alvin Kamara,RB,Abyss Diamond Eyes,254.82,18.2,211.7,14.11,15,79.9,C+,EBC League,2022
1 - 5,5,Najee Harris,RB,Pleasant Valley Panthers,265.48,17.7,223.46,13.14,17,79.39,C+,EBC League,2022
9 - 4,68,Aaron Rodgers,QB,Pitman MaleManipulator,309.66,19.35,239.2,14.07,17,79.05,C+,EBC League,2022
9 - 3,67,Russell Wilson,QB,Abyss Diamond Eyes,302.42,18.9,225.76,15.05,15,78.58,C+,EBC League,2022
3 - 7,23,Mark Andrews,TE,Riley  Read option,235.05,14.69,190.5,12.7,15,78.51,C+,EBC League,2022
5 - 8,40,Terry McLaurin,WR,Champagne  Papi ,221.94,13.87,229.0,13.47,17,78.24,C+,EBC League,2022
12 - 8,96,Chris Olave,WR,Wut happened uh 🤷🏽‍♂️,174.45,10.9,198.2,13.21,15,77.96,C+,EBC League,2022
16 - 7,127,Brandon Aiyuk,WR,Seigaku FC,184.92,11.56,227.8,13.4,17,77.95,C+,EBC League,2022
7 - 8,56,Jerry Jeudy,WR,Champagne  Papi ,212.2,13.26,204.2,13.61,15,77.92,C+,EBC League,2022
14 - 5,109,Miles Sanders,RB,Pitman MaleManipulator,184.65,13.19,216.7,12.75,17,77.89,C+,EBC League,2022
8 - 7,63,Dak Prescott,QB,Seigaku FC,306.52,19.16,198.6,16.55,12,77.05,C+,EBC League,2022
5 - 5,37,Kyler Murray,QB,Pleasant Valley Panthers,314.0,19.62,200.52,18.23,11,76.99,C,EBC League,2022
9 - 7,71,Derek Carr,QB,Riley  Read option,260.61,16.29,219.08,14.61,15,76.91,C,EBC League,2022
2 - 3,11,D'Andre Swift,RB,The Hungry Dogs,253.66,16.91,191.1,13.65,14,76.87,C,EBC League,2022
8 - 1,57,Travis Etienne Jr.,RB,Champagne  Papi ,205.01,13.67,205.1,12.06,17,75.89,C,EBC League,2022
16 - 4,124,Garrett Wilson,WR,Pleasant Valley Panthers,175.31,10.96,215.7,12.69,17,75.56,C,EBC League,2022
3 - 5,21,DJ Moore,WR,Pleasant Valley Panthers,234.57,14.66,199.1,11.71,17,74.77,C,EBC League,2022
3 - 4,20,Keenan Allen,WR,Pitman MaleManipulator,237.62,15.84,164.0,16.4,10,74.58,C,EBC League,2022
7 - 6,54,Mike Williams,WR,The Hungry Dogs,211.44,14.1,176.5,13.58,13,74.16,C,EBC League,2022
15 - 3,115,DeAndre Hopkins,WR,Abyss Diamond Eyes,150.41,15.04,151.7,16.86,9,73.84,C,EBC League,2022
6 - 5,45,Ezekiel Elliott,RB,Pitman MaleManipulator,214.2,14.28,185.8,12.39,15,73.52,C,EBC League,2022
11 - 3,83,JuJu Smith-Schuster,WR,Abyss Diamond Eyes,197.1,12.32,185.3,11.58,16,73.33,C,EBC League,2022
12 - 2,90,Eagles D/ST,D/ST,Riley  Read option,121.78,7.16,158.0,9.29,17,72.99,C-,EBC League,2022
7 - 2,50,Diontae Johnson,WR,Seigaku FC,218.19,13.64,180.7,10.63,17,71.6,C-,EBC League,2022
